,Drug_Name,Reason,Description
22,Acnesol CL Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
23,Acnestal Soap 75gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
24,Acnestar 10mg Capsule 10'SAcnestar 2.5% Soap 75gmAcnestar S Soap 75gmAcnestar 20mg Capsule 10'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
25,Acnetoin 20mg Capsule 10'SAcnetoin Gel 15gm,Acne,Mild to moderate acne (spots)
26,Acnetoin Plus Oinment 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
27,Acnetor AD 1% Ointment 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
28,Acnetor AD Cream 15Acnetor AD Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
29,Acnewar Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
30,Acnewar Plus Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
31,Acnex 10mg Capsule 10'SAcnex 20mg Capsule 10'SAcnex Bar 75gm,Acne,treat the most severe form of acne (nodular acne) 
32,Acnezyl Gel(Topical) 10gm,Acne, treat acne vulgaris 
33,Acnicin Gel 15gmAcnicin 1/1% Solution 25ml,Acne, treat acne vulgaris 
34,Acnil Soap 75gm,Acne, treat mild to moderate acne(spots)
35,Acnin Cream 50gm,Acne,treatment of dry scaly skin disorders of the scalp
36,Acnin Pimple Care Face Pack 50gm,Acne,Mild to moderate acne (spots)
37,Acno 0.05% Gel 15gmAcno 20mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
38,Acnoff Anti Acne Bar 100gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
39,Acnorm Lotion 180ml,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
40,Acnovate Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
41,Acnovate Trio Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
42,Acutret 10mg Capsule 10'SAcutret 30mg Capsule 10'SAcutret 20mg Capsule 10'SAcutret 5mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne) 
43,Aczit 10mg Softgel 10'S,Acne, treat acne vulgaris 
44,Adabor Gel 15gm,Acne, treat acne vulgaris 
45,Adacin Gel 15gm,Acne, treat mild to moderate acne(spots)
46,Adaclene Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
47,Adaferin Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
48,Adalene Nano Gel 15mg,Acne," gives smooth, soft, supple and fresh feeling to the skin"
49,Adapen Gel 15gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
50,Adaple Gel 15gmAdaple C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
51,Adapnil Gel 15gm,Acne,Mild to moderate acne (spots)
52,Adiff Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
53,Adistar Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
54,Adistarc Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
55,Adit 0.05% Cream 20gmAdit 0.025% Cream 20gm,Acne,treat the most severe form of acne (nodular acne) 
56,Adlene Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
57,Admark Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
58,Ahaglow Acne Control Moisturizing Gel 50gm,Acne, treat acne vulgaris 
59,Airet 0.50% Cream 15gmAiret 0.10% Cream 15gm,Acne, treat acne vulgaris 
60,Airol Cream 20gmAirol 0.03% Cream 20gmAirol 0.05% Cream 20gm,Acne, treat mild to moderate acne(spots)
61,Aknaybar Bathing Bar 100gm,Acne,treatment of dry scaly skin disorders of the scalp
62,Akneroxid 10% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
63,ALAN Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
64,Alene Gel 15gm,Acne,Mild to moderate acne (spots)
65,Alesa 2.5% Gel 1gmAlesa 5% Gel 1gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
66,Alight Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
67,Alight Plus Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
68,Alite Cream 15gmAlite Soap 75gm,Acne,treat the most severe form of acne (nodular acne) 
69,Alite Plus Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
70,Allyte 1% Gel 20gm,Acne,treat the most severe form of acne (nodular acne) 
71,Alonurish Anti Acne Foaming Face Wash 60ml,Acne, treat acne vulgaris 
72,Amypure Tablet 90'SAmypure Tablet 100'S,Acne, treat acne vulgaris 
73,AP Gel 10gm,Acne, treat mild to moderate acne(spots)
74,Apalene C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
75,Athoderm 1% Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
76,Atranza 10mg Capsule 100'S,Acne,treatment of dry scaly skin disorders of the scalp
77,Atret 0.5% Cream 30gmATRET 0.025% Cream 30gm,Acne,Mild to moderate acne (spots)
78,Azac Cream 15gmAzac Soap 75gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
79,Azecne 20% Cream 15gmAzecne 10% Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
80,Aziderm 10% Cream 15gmAziderm 20% Gel 15gmAziderm 10% Gel 15gmAziderm 20% Cream 15gmAziderm 15% Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
81,Azobril 15% Cream 20gm,Acne,treat the most severe form of acne (nodular acne) 
82,Baclytic Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
83,Bdiff A Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
84,Bende Gel(Topical) 20gmBende Gel(Topical) 30gm,Acne, treat acne vulgaris 
85,Bengel 5% Gel 30gmBengel AC 5% Gel 30gmBengel 2.5% Gel 30gm,Acne, treat acne vulgaris 
86,Bengel AC 2.5% Gel 30gm,Acne, treat mild to moderate acne(spots)
87,Bengel Acra 2.5% Gel 30gm,Acne,treatment of dry scaly skin disorders of the scalp
88,Benzac AC 2.5% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
89,Benzac AC 5% Gel 20gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
90,Benzer 5% Gel 20gmBenzer 2.5% Gel 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
91,Benzonext 5% Gel 20gmBenzonext Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
92,Benzonix 1.25% Soap 75gmBenzonix 2.5% Soap 75gmBenzonix Gel 20gm,Acne,Mild to moderate acne (spots)
93,Benzox AC 5% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
94,Blokage Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
95,Botanica 3D Serum 30ml,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
96,Brevoxyl Cream 20gm,Acne,treat the most severe form of acne (nodular acne) 
97,Brevoxyl Creamy Wash Lotion 50gm,Acne,treat the most severe form of acne (nodular acne) 
98,Brite Opti Cream 10gm,Acne,treat the most severe form of acne (nodular acne) 
99,Calosoft Plus Cream 30gm,Acne, treat acne vulgaris 
100,Camyda 300mg Capsule 10'SCamyda 1% Gel 10gm,Acne, treat acne vulgaris 
101,Canvaz Gel(Topical) 15gm,Acne, treat mild to moderate acne(spots)
102,Cdiff A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
103,Cinason N Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
104,Cleargel Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
105,Cleargel AP Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
106,Clearliv Capsule 60'S,Acne," gives smooth, soft, supple and fresh feeling to the skin"
107,CLENCHIN Gel(Topical) 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
108,CLENCHIN Z Cream 10gm,Acne,Mild to moderate acne (spots)
109,Cliac Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
110,Click Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
111,Clid 1% Gel 20gmClid Gel 30gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
112,Cliface Gel 20gm,Acne,treat the most severe form of acne (nodular acne) 
113,Cliface A Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
114,Cligel N Gel 20gmCligel Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
115,Cligel A Gel 15gm,Acne, treat acne vulgaris 
116,Cligel T Gel 15gm,Acne, treat acne vulgaris 
117,Climple 1% Gel 15gm,Acne, treat mild to moderate acne(spots)
118,Climple A Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
119,Clin 1% Gel 10gmClin Tablet 10's,Acne,Mild to moderate acne (spots)
120,Clin 3 Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
121,Clin AD Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
122,Clinadd Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
123,Clinapil 1% Gel 10gm,Acne,treat the most severe form of acne (nodular acne) 
124,Clincent 1% Gel 20gm,Acne,treat the most severe form of acne (nodular acne) 
125,Clincent A Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
126,Clincin Gel 20gmCLINCIN Gel 10gm,Acne, treat acne vulgaris 
127,Clincin N GE Gel 20gm,Acne, treat acne vulgaris 
128,Clincitop Gel 20gmClincitop Gel(Topical) 15gm,Acne, treat mild to moderate acne(spots)
129,Clinda 1% Gel 10gm,Acne,treatment of dry scaly skin disorders of the scalp
130,Clindac A Foaming Facewash 50ml,Acne,combined with anti-acne actives of both natural and synthetic origin
131,Clindac A Solution 25mlCLINDAC A 1% Gel 20gmClindac A Gel 15gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
132,Clindakem A Gel 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
133,Clindap Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
134,Clindapene Gel 15gm,Acne,Mild to moderate acne (spots)
135,Clindasure 300mg Capsule 10'SClindasure 150mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
136,Clindoxyl Gel 15gmClindoxyl Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
137,Clinet Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
138,Clingard Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
139,Clinka Gel 20gm,Acne,treat the most severe form of acne (nodular acne) 
140,Clinka N Gel 10gm,Acne,treat the most severe form of acne (nodular acne) 
141,CLINKRICK Gel 10gm,Acne, treat acne vulgaris 
142,Clinlup 1% Gel 10gm,Acne, treat acne vulgaris 
143,Clinmax A Gel 30gmClinmax Gel 20gm,Acne, treat mild to moderate acne(spots)
144,Clinmiface A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
145,Clinopak 300Mg Tablet 10'sClinopak Gel 20gmClinopak 150Mg Tablet 10's,Acne,combined with anti-acne actives of both natural and synthetic origin
146,Clinoxid 15% Gel 15gmClinoxid 1% Gel 15gmClinoxid 1/2.5 Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
147,Clinxa Gel 20gm,Acne,Mild to moderate acne (spots)
148,Clinxa A Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
149,Comedolytic Cream 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
150,Cortina H Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
151,Cosmoderm Kit 1'S,Acne,treat the most severe form of acne (nodular acne) 
152,Cospeel Shampoo 50ml,Acne,treat the most severe form of acne (nodular acne) 
153,Crixan Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
154,D Acne Soap 75gmD Acne Gel 10gm,Acne, treat acne vulgaris 
155,D Acne I 20mg Capsule 10'SD Acne I 10mg Capsule 10'S,Acne, treat acne vulgaris 
156,D Acne Plus Gel 15gm,Acne, treat mild to moderate acne(spots)
157,Dalcihit 300Mg Capsule 10's,Acne,treatment of dry scaly skin disorders of the scalp
158,Decdan Lite Cream 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
159,Decroma 6% Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp
160,Depiglare Cream 15gm,Acne,Mild to moderate acne (spots)
161,Deriva Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
162,Deriva Bpo Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
163,Deriva Cms Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
164,Deriva MS Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
165,Derlin Gel 10gm,Acne,treat the most severe form of acne (nodular acne) 
166,DERMADEW B Bar 75gm,Acne,treat the most severe form of acne (nodular acne) 
167,Dersol BH Ointment 30gm,Acne, treat acne vulgaris 
168,Doxt SL 100mg/5B Tablet 8'S,Acne, treat acne vulgaris 
169,DS ACNE Face Wash 100gm,Acne, treat mild to moderate acne(spots)
170,EGA Night Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp
171,Elosone HT Cream 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
172,Emolene Cream 100gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
173,ENCLINA Gel(Topical) 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
174,ENCLINA ADP Gel(Topical) 20gm,Acne,treatment of dry scaly skin disorders of the scalp
175,Enshine Ointment 15gm,Acne,Mild to moderate acne (spots)
176,Entice Acne Bar 75gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
177,Entice Natura Soap 75gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
178,Epiduo Gel 30gmEpiduo Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
179,Erytop Lotion 25mlErytop Gel 20gm,Acne,treat the most severe form of acne (nodular acne) 
180,Erytop A Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
181,Ethitret 20mg Capsule 10'SEthitret 10mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne) 
182,Eudyna 0.05% Cream 20gm,Acne, treat acne vulgaris 
183,Eunozit 10mg Capsule 10'S,Acne, treat acne vulgaris 
184,Exazel 15% Cream 15gmExazel 10% Cream 15gmExazel Cream 10gmExazel 20% Cream 15gm,Acne, treat mild to moderate acne(spots)
185,Exazel N Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
186,Excela Cream 50gm,Acne,combined with anti-acne actives of both natural and synthetic origin
187,EXCEX Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
188,Exel Cream 16Gm,Acne,combined with anti-acne actives of both natural and synthetic origin
189,Ezanic 10% Gel 15gmEzanic 10% Cream 15gmEzanic 20% Gel 15gmEzanic 20% Cream 15gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
190,Fabeau Soap 1'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
191,Facebenz A Gel 15gm,Acne,Mild to moderate acne (spots)
192,Faceclin Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
193,Faceclin A Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
194,Faceclin AT Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
195,Femcinol A Gel 20gm,Acne,treat the most severe form of acne (nodular acne) 
196,Femcinol Adp Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
197,Femolink Cream 20gm,Acne,treat the most severe form of acne (nodular acne) 
198,Flexon Cream 15gm,Acne, treat acne vulgaris 
199,Foracne Plus Gel 15gm,Acne, treat acne vulgaris 
200,Ga 12 Cream 30gm,Acne, treat mild to moderate acne(spots)
201,Ga 6 Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp
202,Glintra Gel 15gmGlintra A Gel 15gmGlintra Soap 75gmGlintra Gel 30gm,Acne,Mild to moderate acne (spots)
203,Glocin Gel Gel(Topical) 20gmGLOCIN Gel 30gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
204,Glotret 30mg Tablet 10'SGlotret 20mg Tablet 10'SGlotret 10mg Tablet 10'SGlotret 5mg Tablet 10'S,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
205,Glow Lite Cream 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
206,Glowcare Forte Cream 10gm,Acne,treat the most severe form of acne (nodular acne) 
207,Glowcor Cream 20gm,Acne,treat the most severe form of acne (nodular acne) 
208,Glyaha Lotion 50gm,Acne,treat the most severe form of acne (nodular acne) 
209,Glyaha Koj Lotion 30gm,Acne, treat acne vulgaris 
210,Glylak 70% Solution 100ml,Acne, treat acne vulgaris 
211,Hexilak Ultra C Gel 20gm,Acne, treat mild to moderate acne(spots)
212,Hostacycline 500mg Capsule 4'S,Acne,treatment of dry scaly skin disorders of the scalp
213,HQ Lite Cream 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
214,HTM Cream 15gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
215,I Deriva 20mg Capsule 10'SI Deriva 10mg Capsule 10'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
216,Ibitret 10mg Softgel 10'SIbitret 20mg Softgel 10'S,Acne,treatment of dry scaly skin disorders of the scalp
217,Iret 20mg Capsule 10'S,Acne,Mild to moderate acne (spots)
218,Isac 20mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
219,Isac 10mg Capsule 10'S,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
220,Isina 20mg Capsule 10'S,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
221,ISININ 20mg Capsule 10's,Acne,treat the most severe form of acne (nodular acne) 
222,ISO Aret 20mg Softgel 10'S,Acne,treat the most severe form of acne (nodular acne) 
223,ISO CLIN 10mg Capsule 10's,Acne,treat the most severe form of acne (nodular acne) 
224,ISO T 20mg Capsule 10'S,Acne, treat acne vulgaris 
225,Isoace 20mg Capsule 10'SIsoace 10mg Capsule 10'S,Acne, treat acne vulgaris 
226,Isobest 20mg Capsule 10'SIsobest 10mg Capsule 10'S,Acne, treat mild to moderate acne(spots)
227,Isofeel 0.025 Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp
228,Isofeel 0.05 Cream 30gm,Acne,combined with anti-acne actives of both natural and synthetic origin
229,Isofeel 0.1 Gel 30gm,Acne,treatment of dry scaly skin disorders of the scalp
230,Isofeel 10 Capsule 10's,Acne,Mild to moderate acne (spots)
231,Isofeel 20 Capsule 10's,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
232,Isofeel 30 Capsule 10's,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
233,Isofeel 40 Capsule 10's,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
234,Isoin 20mg Capsule 10'SIsoin 10mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne) 
235,Isokon 10mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne) 
236,Isopex 10mg Tablet 10'SIsopex 20mg Tablet 10'S,Acne,treat the most severe form of acne (nodular acne) 
237,Isopil 10mg Tablet 10'SIsopil 20mg Tablet 10'SIsopil 5mg Tablet 10'S,Acne, treat acne vulgaris 
238,ISOTACNE 20mg Capsule 10's,Acne, treat acne vulgaris 
239,Isotane 10mg Capsule 10'SIsotane 5Mg Capsule 10'sIsotane 20mg Capsule 10'S,Acne, treat mild to moderate acne(spots)
240,Isotret 20mg Capsule 10'S,Acne,treatment of dry scaly skin disorders of the scalp
241,Isotroin 30mg Capsule 10'SIsotroin 20mg Capsule 10'SIsotroin 10mg Capsule 10'SIsotroin 0.05% Gel 15gmIsotroin 5mg Capsule 10'S,Acne,combined with anti-acne actives of both natural and synthetic origin
242,Isozer 10mg Capsule 10'S,Acne,treatment of dry scaly skin disorders of the scalp
243,Kligmel Cream 15gm,Acne,Mild to moderate acne (spots)
244,Klincin A Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
245,Klinspec 1% Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
246,Klynx Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
247,Lacne 20mg Capsule 10'SLacne Soap 75gmLacne Gel 15gmLacne 10mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne) 
248,Lacne Foaming Face Wash Lotion 60ml,Acne,treat the most severe form of acne (nodular acne) 
249,LEE Neem Face Wash 70gm,Acne,treat the most severe form of acne (nodular acne) 
250,Litetone Cream 20gm,Acne, treat acne vulgaris 
251,Luminosa M Cream 20gm,Acne, treat acne vulgaris 
252,MAVTRON 20mg Capsule 10's,Acne, treat mild to moderate acne(spots)
253,Medapine AC Gel 15gmMedapine 1% Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
254,Mederma Plus Intense Gel 10gm,Acne,combined with anti-acne actives of both natural and synthetic origin
255,Medsop Soap 100gmMedsop Soap 75gmMedsop Acne Soap 75gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
256,Melacare HC Cream 15gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
257,Melagard Tube 1'S,Acne,treatment of dry scaly skin disorders of the scalp
258,Melalite Plus Cream 15gm,Acne,Mild to moderate acne (spots)
259,Melalong AD Cream 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
260,MELANORM MS Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
261,Melasol Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
262,Melnor Cream 20gm,Acne,treat the most severe form of acne (nodular acne) 
263,Metasone Plus Cream 15gm,Acne,treat the most severe form of acne (nodular acne) 
264,Microbenz 3.5% Aqueous Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
265,Mimosee Gel 20gm,Acne, treat acne vulgaris 
266,Minokem N 2% Lotion 60ml,Acne, treat acne vulgaris 
267,Minova 100mg Tablet 4'S,Acne, treat mild to moderate acne(spots)
268,Minoz Bpo Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
269,Minoz S Face Wash 50ml,Acne,combined with anti-acne actives of both natural and synthetic origin
270,Miroir Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
271,Momikem HT Cream 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
272,MOMZOT HT Cream 15gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
273,Nayzit Gel 15gmNayzit 20mg Capsule 10'SNayzit 10mg Capsule 10'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
